datetime,dst,rssi,src,timestamp
2025-05-07 02:10:24,d8:32:14:45:a0:71,-56.0,04:99:bb:d8:6e:2e,1746580224.7632055
2025-05-07 02:10:24,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580224.7657459
2025-05-07 02:10:24,d8:32:14:45:a0:71,-50.0,04:99:bb:d8:6e:2e,1746580224.7670932
2025-05-07 02:10:24,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580224.7810571
2025-05-07 02:10:24,d8:32:14:45:a0:71,-57.0,04:99:bb:d8:6e:2e,1746580224.9469087
2025-05-07 02:10:24,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580224.9495642
2025-05-07 02:10:24,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580224.9535706
2025-05-07 02:10:24,d8:32:14:45:a0:71,-56.0,04:99:bb:d8:6e:2e,1746580224.9626582
2025-05-07 02:10:32,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580232.6448522
2025-05-07 02:10:32,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580232.646604
2025-05-07 02:10:32,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580232.6478395
2025-05-07 02:10:32,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580232.648902
2025-05-07 02:10:32,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580232.6499414
2025-05-07 02:10:32,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580232.6627195
2025-05-07 02:10:33,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580233.573566
2025-05-07 02:10:33,d8:32:14:45:a0:71,-55.0,04:99:bb:d8:6e:2e,1746580233.577252
2025-05-07 02:10:33,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580233.578328
2025-05-07 02:10:33,d8:32:14:45:a0:71,-56.0,04:99:bb:d8:6e:2e,1746580233.584264
2025-05-07 02:10:34,d8:32:14:45:a0:71,-53.0,04:99:bb:d8:6e:2e,1746580234.4844236
2025-05-07 02:10:34,d8:32:14:45:a0:71,-51.0,04:99:bb:d8:6e:2e,1746580234.4864216
2025-05-07 02:10:34,d8:32:14:45:a0:71,-54.0,04:99:bb:d8:6e:2e,1746580234.502414
